Time,Zipcode,Customer Type
20:30:15,NULL,New
15:20:55,22031,Repeat
19:04:07,NULL,Repeat
14:00:01,NULL,Repeat
18:12:22,20171,New
20:33:14,NULL,New
18:50:51,NULL,Repeat
14:52:03,22066,New
19:09:25,NULL,Repeat
19:31:39,NULL,New
14:59:09,20170,Repeat
21:08:10,20170,Repeat
14:31:40,NULL,Repeat
15:11:44,22124,Repeat
10:59:16,NULL,New
19:26:16,NULL,New
19:52:54,NULL,New
17:59:17,20194,Repeat
16:55:32,20190,New
17:06:35,NULL,New
17:14:52,NULL,Repeat
19:03:11,20190,New
19:28:05,20191,Repeat
13:29:53,22205,Repeat
17:37:13,NULL,New
18:49:10,20194,Repeat
16:24:57,NULL,New
12:43:41,20170,New
19:23:34,20170,Repeat
12:41:52,NULL,New
15:55:35,NULL,New
12:08:56,20190,New
17:05:37,NULL,Repeat
20:23:41,20190,New
12:34:45,20170,New
20:43:27,NULL,New
15:53:40,22182,New
17:57:24,20171,Repeat
11:50:52,NULL,Repeat
19:16:00,NULL,Repeat
20:12:37,22031,New
14:49:22,20190,New
16:06:09,20170,New
16:18:28,20171,Repeat
18:11:05,NULL,New
20:11:16,20191,Repeat
11:40:43,NULL,Repeat
20:48:18,20166,New
14:17:46,20171,Repeat
14:48:57,20165,New
19:46:29,NULL,New
19:32:50,20171,Repeat
20:28:40,NULL,Repeat
9:24:21,NULL,Repeat
15:04:03,NULL,Repeat
16:44:45,NULL,New
13:36:10,NULL,New
21:19:12,20190,Repeat
20:30:25,NULL,Repeat
16:42:17,NULL,New
18:34:15,NULL,New
20:51:01,20171,Repeat
15:25:16,20170,Repeat
18:25:54,NULL,New
13:29:59,NULL,Repeat
13:58:01,20191,New
15:37:38,NULL,New
16:08:15,20170,Repeat
17:08:01,20190,New
20:19:05,20170,New
20:32:47,NULL,Repeat
21:02:18,22182,New
12:07:16,NULL,New
12:07:51,NULL,New
12:08:30,NULL,New
13:15:02,20171,Repeat
13:27:46,NULL,New
13:45:29,NULL,New
13:46:20,20191,Repeat
13:52:31,NULL,New
14:52:04,NULL,New
15:17:20,NULL,New
15:30:43,NULL,Repeat
15:39:21,NULL,New
16:59:24,NULL,New
17:54:45,22180,New
18:41:01,NULL,Repeat
19:39:12,NULL,Repeat
17:20:14,22182,New
19:54:49,20170,New
14:13:18,20171,Repeat
20:03:28,20190,Repeat
10:48:01,NULL,New
12:15:15,20170,New
16:50:08,20194,Repeat
16:54:42,20194,Repeat
17:06:16,20190,Repeat
17:10:07,20194,Repeat
19:21:54,NULL,New
12:27:51,20164,Repeat
13:45:05,NULL,Repeat
14:08:24,22033,Repeat
14:09:50,20194,Repeat
14:11:44,20194,Repeat
14:56:59,NULL,New
15:29:29,22030,Repeat
16:19:38,NULL,New
16:23:31,NULL,New
10:36:48,NULL,Repeat
12:39:41,NULL,New
14:59:16,20170,Repeat
20:10:42,20171,Repeat
21:13:37,20170,New
8:52:44,20165,Repeat
17:09:36,20166,New
12:54:38,22182,New
16:03:28,NULL,New
16:49:01,NULL,New
18:13:26,22033,Repeat
12:45:51,20190,New
15:13:35,20190,New
17:03:46,NULL,Repeat
18:34:19,22180,New
19:09:03,20170,New
11:17:24,NULL,Repeat
11:41:21,22182,Repeat
15:06:32,20194,New
19:06:29,20190,New
20:29:50,NULL,New
16:18:34,NULL,New
17:20:23,NULL,New
18:15:32,20170,Repeat
11:48:26,20190,Repeat
15:10:17,20165,Repeat
14:40:07,NULL,Repeat
20:23:44,NULL,New
17:56:01,NULL,New
17:56:29,NULL,Repeat
12:12:42,20171,Repeat
16:24:38,NULL,New
17:12:11,NULL,New
18:22:15,NULL,Repeat
18:36:05,NULL,New
19:36:55,NULL,New
20:05:39,20164,New
20:54:39,20190,Repeat
14:47:26,NULL,New
18:23:13,22033,New
11:21:04,NULL,Repeat
16:24:16,NULL,Repeat
18:58:25,NULL,New
7:43:48,20171,New
11:45:36,20191,Repeat
13:26:02,NULL,Repeat
15:45:22,NULL,New
16:35:16,NULL,New
17:55:28,NULL,New
16:43:10,20164,Repeat
17:48:35,NULL,New
17:42:20,20190,Repeat
9:39:38,20190,New
10:12:50,NULL,New
13:02:38,20171,New
13:27:32,NULL,Repeat
15:48:00,22182,New
20:32:06,NULL,Repeat
13:35:02,NULL,Repeat
13:37:01,20171,Repeat
20:28:26,20190,Repeat
21:12:15,NULL,Repeat
8:38:28,NULL,New
14:45:23,NULL,Repeat
15:10:03,NULL,New
15:31:55,20194,New
17:32:15,NULL,Repeat
18:15:03,20171,Repeat
10:32:23,20190,New
13:04:48,NULL,Repeat
17:19:01,20190,New
18:31:09,NULL,Repeat
20:39:44,NULL,New
12:16:09,NULL,Repeat
15:08:33,NULL,New
14:49:56,NULL,New
19:13:35,22066,Repeat
20:24:27,NULL,Repeat
14:59:20,20170,New
16:30:34,NULL,New
16:36:04,NULL,Repeat
18:32:20,NULL,Repeat
20:32:12,20170,New
13:55:36,NULL,New
19:58:03,20170,Repeat
20:32:57,20191,New
8:03:09,NULL,New
19:05:28,NULL,Repeat
10:15:23,NULL,Repeat
14:21:58,NULL,Repeat
14:54:08,22102,New
15:06:15,NULL,Repeat
12:50:54,NULL,New
16:10:15,22031,Repeat
16:53:09,NULL,New
19:37:27,NULL,Repeat
19:41:25,NULL,Repeat
14:33:00,20165,Repeat
14:44:54,NULL,New
15:58:46,NULL,New
16:56:15,NULL,New
17:27:56,22102,New
12:05:11,20191,New
18:45:34,22124,New
19:46:13,NULL,New
15:33:36,NULL,New
18:05:48,NULL,New
11:36:37,NULL,New
16:43:48,NULL,New
10:48:24,20194,New
11:49:32,20165,New
16:36:45,NULL,Repeat
18:45:20,NULL,Repeat
19:14:12,20170,Repeat
13:29:01,22124,Repeat
16:48:34,22031,Repeat
16:51:46,20192,Repeat
17:55:43,NULL,New
16:50:14,NULL,New
17:29:18,NULL,New
19:41:19,22181,New
20:52:10,20190,Repeat
12:27:48,NULL,New
12:28:20,NULL,Repeat
19:06:56,20191,Repeat
21:08:06,NULL,New
17:08:51,NULL,Repeat
9:46:43,22181,New
16:21:33,NULL,Repeat
18:02:01,20190,Repeat
21:07:44,NULL,New
12:41:08,NULL,New
10:03:55,20170,New
13:36:12,20151,New
19:55:22,NULL,Repeat
14:37:19,NULL,New
18:06:41,NULL,Repeat
20:40:15,NULL,New
10:15:49,NULL,New
12:33:14,NULL,Repeat
16:49:29,22030,Repeat
21:11:10,20191,Repeat
12:43:02,NULL,New
19:30:59,NULL,New
19:54:38,NULL,Repeat
17:10:19,NULL,Repeat
18:23:10,NULL,Repeat
18:45:28,NULL,Repeat
18:48:43,NULL,New
18:57:36,20171,New
21:23:48,20166,New
13:03:54,NULL,Repeat
18:12:58,NULL,Repeat
16:36:20,NULL,Repeat
17:57:20,NULL,New
18:58:22,20194,New
19:49:23,NULL,New
1:19:41,NULL,Repeat
14:50:23,NULL,New
18:27:00,20164,New
18:52:42,22124,Repeat
19:33:17,20170,Repeat
21:13:20,NULL,New
12:26:12,22033,Repeat
12:36:05,NULL,New
19:19:23,NULL,New
16:08:23,NULL,New
11:37:08,NULL,New
20:16:46,20191,New
8:53:55,NULL,Repeat
15:21:35,NULL,New
12:17:49,NULL,New
15:04:31,NULL,New
15:45:09,NULL,New
13:14:53,NULL,Repeat
13:49:51,NULL,Repeat
15:59:30,20190,New
20:38:50,20191,New
23:27:51,NULL,New
11:16:24,22180,New
16:32:50,NULL,New
17:48:20,NULL,New
19:37:53,NULL,New
15:18:33,NULL,Repeat
15:29:08,22030,Repeat
20:38:50,20171,Repeat